country,suicides/100k pop
Albania,3.5028787878787875
Antigua and Barbuda,0.5529012345679012
Argentina,10.46932795698924
Armenia,3.275872483221477
Aruba,9.503095238095236
Australia,12.992805555555568
Austria,23.75976439790575
Azerbaijan,1.8554166666666676
Bahamas,1.2473913043478262
Bahrain,1.8541269841269843
Barbados,2.970433333333334
Belarus,31.07591269841269
Belgium,21.237903225806463
Belize,6.230625000000003
Bosnia and Herzegovina,4.617083333333333
Brazil,5.846021505376345
Bulgaria,19.489111111111132
Cabo Verde,11.153333333333334
Canada,12.467586206896545
Chile,10.54204301075269
Colombia,5.401586021505377
Costa Rica,7.093666666666661
Croatia,22.83526717557252
Cuba,21.222048611111124
Cyprus,3.2935955056179766
Czech Republic,18.487546583850907
Denmark,14.097159090909077
Dominica,0.0
Ecuador,6.304327956989245
El Salvador,10.54145833333334
Estonia,27.276904761904763
Fiji,5.105000000000001
Finland,22.77043103448276
France,21.67569444444445
Georgia,4.2287121212121175
Germany,15.559903846153842
Greece,4.064838709677418
Grenada,2.1322580645161286
Guatemala,3.1852777777777765
Guyana,22.186399999999995
Hungary,32.76151612903224
Iceland,12.800366492146596
Ireland,10.78258333333333
Israel,8.951532258064514
Italy,8.518467741935483
Jamaica,0.5217647058823529
Japan,21.57319892473118
Kazakhstan,30.511282051282034
Kiribati,6.65537878787879
Kuwait,1.1864333333333337
Kyrgyzstan,14.286217948717962
Latvia,29.259325396825414
Lithuania,40.41557251908396
Luxembourg,16.549892473118266
Macau,14.31166666666667
Maldives,1.3673333333333335
Malta,5.032284946236558
Mauritius,11.687382198952875
Mexico,4.7075
Mongolia,18.439
Montenegro,9.950249999999999
Netherlands,10.645340314136119
New Zealand,14.39172413793105
Nicaragua,6.566944444444445
Norway,12.941000000000003
Oman,0.7361111111111112
Panama,5.81353333333333
Paraguay,4.217191358024693
Philippines,2.421277777777778
Poland,15.269513888888895
Portugal,11.33753086419753
Puerto Rico,10.186236559139779
Qatar,1.7873595505617967
Republic of Korea,25.13561827956988
Romania,12.489670658682638
Russian Federation,34.8923765432099
Saint Kitts and Nevis,0.0
Saint Lucia,7.202738095238099
Saint Vincent and Grenadines,5.7554333333333325
San Marino,4.045
Serbia,22.164120370370373
Seychelles,7.480092592592594
Singapore,17.045645161290317
Slovakia,12.568787878787877
Slovenia,27.82785714285713
South Africa,0.9645416666666666
Spain,9.432956989247316
Sri Lanka,35.2951515151515
Suriname,21.316428571428563
Sweden,14.658435754189933
Switzerland,19.02408730158731
Thailand,7.073862275449102
Trinidad and Tobago,13.825648148148135
Turkey,2.371071428571429
Turkmenistan,8.605545977011497
Ukraine,26.582321428571408
United Arab Emirates,1.3179166666666662
United Kingdom,7.502473118279568
United States,13.819811827956993
Uruguay,19.461190476190477
Uzbekistan,8.09912878787879
